Time,Temperature,Change in Length
982.5157471,671.409729,57.34185028
982.5529175,669.5272827,56.91487503
982.5900879,667.8800049,56.79718399
982.6254273,667.774231,56.75886536
982.6625977,667.4178467,56.65759659
982.6997681,666.920105,56.47422028
982.7370606,665.0631104,55.9186058
982.774231,662.8939209,55.62848663
982.8199463,662.4025879,55.71333313
982.8486939,662.7490234,55.71059418
982.8858643,662.2046509,55.55732346
982.9229736,660.8256836,55.00992203
982.9602661,658.9611816,54.71432495
982.9974365,658.2852783,54.71158981
983.0346069,657.8959961,54.68148041
983.0718384,657.1630249,54.54463196
983.1090698,656.1925659,54.13955688
983.1462402,654.3502197,53.54836273
983.1833496,651.9534302,53.46899033
983.2205811,651.8007813,53.67700195
983.2578125,652.3186035,53.71532059
983.2949829,652.2122803,53.5100441
983.3321533,650.7329102,52.94348526
983.3693848,647.8607178,52.62051773
983.4064941,646.8375855,52.71084213
983.4437256,647.3137207,52.81484604
983.480957,647.5871582,52.72452545
983.5180664,646.1517944,52.21818161
983.5552368,643.446167,51.78299713
983.5925293,642.3537598,51.87057877
983.6296997,642.6847534,52.02658844
983.6668701,642.8341675,52.05943298
983.7041626,642.1437988,51.83773804
983.741272,640.4317017,51.28212357
983.7784424,637.9204712,50.8715744
983.819519,636.8654785,51.10148239
983.8527832,637.3359985,51.27664948
983.890564,637.6138916,51.11516953
983.9277954,635.3643189,50.52671051
983.9649658,633.3734131,50.33238602
984.0021362,632.3311768,50.55955505
984.0375366,632.7345581,50.71282959
984.0764771,632.6774292,50.50207901
984.1136475,630.713501,49.98752213
984.1490479,628.3264771,49.69192505
984.1861572,627.421875,50.05321121
984.2233887,627.9760742,50.33512115
984.2606201,628.501648,50.19279861
984.2977905,626.9534912,49.67002869
984.3349609,624.1696777,49.24853134
984.3722534,622.5333252,49.4702301
984.4093628,622.9094849,49.78498459
984.4465332,623.6757202,49.8944664
984.4838257,623.0455933,49.47843933
984.5209961,620.383728,48.98304367
984.5581055,617.9348755,48.8516655
984.5953369,617.6658936,49.30600739
984.6325684,618.4621582,49.65634537
984.6696777,618.3581543,49.59065628
984.7070313,617.0739746,49.1062088
984.7442017,614.5686035,48.71481705
984.7813721,612.5211182,48.81608582
984.8199463,612.7044678,49.37717056
984.8683472,613.9473267,49.86709595
984.8924561,613.7677002,49.7192955
984.9296875,612.1546631,49.2457962
984.9668579,609.5734253,48.9064064
985.0040283,607.1880493,48.76134491
985.0412598,606.1692505,49.16094971
985.0784302,607.0224609,49.74940491
985.1156006,607.8357544,49.88899231
985.152832,606.3312988,49.6152916
985.1900024,604.1199341,49.33885193
985.2271118,601.8240356,49.25127029
985.2644653,600.8757324,49.67276764
985.3016357,601.2615967,50.11616135
985.3388062,601.0235596,50.17363739
985.3839722,599.3642578,50.08058167
985.4137573,597.6137085,50.05594635
985.4508667,596.2595825,50.42818069
985.4881592,596.4221191,50.79767609
985.5253296,595.9923096,50.92084122
985.562561,594.9553833,50.99473953
985.5997315,593.5568237,51.15895844
985.6369019,592.298584,51.35328674
985.6741943,591.5643921,51.55582428
985.7113037,590.739624,51.76657486
985.7484741,589.9833374,51.96637726
985.7857666,588.6765747,52.19081116
985.8215332,587.7930298,52.41524506
985.8587647,587.0360718,52.62051773
985.8959961,586.3550415,52.84495163
985.9331055,585.4854126,53.05296707
985.9702759,583.9954834,53.31845474
986.0075684,583.3427734,53.5894165
986.0446777,582.7879028,53.82479858
986.0818481,581.8773804,54.11218643
986.1191406,580.3206177,54.35577774
986.1564941,579.3112793,54.602108
986.1937256,578.7666016,54.90044403
986.230957,578.1091919,55.18782806
986.2680664,576.9248657,55.39857864
986.3052979,575.5909424,55.66406631
986.3425293,574.8456421,55.98429489
986.3796387,574.3546753,56.2388382
986.4168701,573.2200317,56.4824295
986.4541626,572.1138306,56.73423386
986.491272,571.0801392,56.97509003
986.5280762,570.3702393,57.22415924
986.5653687,569.2304688,57.51427841
986.602478,568.425354,57.74692535
986.6396484,567.317627,57.93577957
986.677002,566.1620483,58.20948029
986.7141113,565.5131226,58.4475975
986.7512817,564.477356,58.66929626
986.7885132,563.6090698,58.88551712
986.8256836,562.397522,59.09079361
986.862793,561.5397339,59.28238297
986.9000244,560.9299927,59.47944641
986.9371948,559.8306274,59.67651367
986.9743042,558.7200317,59.81609726
987.0115967,558.0073853,59.99674225
987.0487671,557.0204468,60.22117615
987.0861816,556.2416992,60.32791901
987.1234131,554.5188599,60.42644882
987.1605835,553.7980347,60.66183472
987.1976929,553.571106,60.99574661
987.2349243,552.6633911,61.19828415
987.2744141,551.081604,61.51577759
987.3081055,550.7776489,61.71284103
987.345398,549.4111328,61.82779694
987.3825684,548.2529907,62.05770493
987.4196777,548.0220947,62.23287201
987.4570923,546.4490967,62.34235382
987.4942627,545.8145142,62.60510635
987.5313721,545.3339233,62.79669571
987.5686035,544.0240479,62.87606812
987.6057739,542.7318115,63.08955383
987.6428833,542.2471314,63.28388214
987.6801148,541.4502564,63.34683228
987.7173462,540.0541992,63.48368073
987.7544556,539.8740845,63.75190735
987.791687,538.7641602,63.6999054
987.8283691,537.168457,63.70264435
987.8654785,536.4034424,63.86138916
987.90271,535.803772,63.87781143
987.9398804,534.6594238,63.82580948
987.9769898,533.3379517,63.79022598
988.0143433,533.0065918,64.0639267
988.0515137,532.6014404,64.13234711
988.0886231,530.862793,64.05571747
988.1258545,529.3960571,64.04750061
988.1630249,529.2966309,64.09950256
988.2003174,528.6845703,64.23088074
988.2374878,526.9660645,64.13782501
988.2746582,525.6748047,64.09950256
988.3118897,525.3537598,64.13508606
988.3490601,524.567627,64.10771942
